year,country_name,Gini_case1,Gini_case2,Gini_case3
1960,USA,37.6,37.6,37.6
1960,China,32.2,32.2,32.2
1960,Russia,36.9,36.9,36.9
1960,India,33.2,33.2,33.2
1960,Japan,34.8,34.8,34.8
1960,Germany,29.5,29.5,29.5
1960,France,37.1,37.1,37.1
1960,Canada,37.2,37.2,37.2
1960,United Kingdom,26.8,26.8,26.8
1960,Brazil,57.9,57.9,57.9
1960,South Korea,31.7,31.7,31.7
1960,Italy,34,34,34
1960,Indonesia,32.3,32.3,32.3
1960,Mexico,50.1,50.1,50.1
1960,Iran,47.4,47.4,47.4
1960,Saudi Arabia,35.1,35.1,35.1
1960,Spain,34.5,34.5,34.5
1960,Ukraine,29.7,29.7,29.7
1960,South Africa,59.3,59.3,59.3
1960,Australia,31.3,31.3,31.3
1960,Taiwan,31.7,31.7,31.7
1960,Nigeria,38.7,38.7,38.7
1960,Thailand,45.2,45.2,45.2
1960,Poland,38,38,38
1960,Türkiye,43.5,43.5,43.5
1960,Netherlands,28.4,28.4,28.4
1960,Pakistan,33.3,33.3,33.3
1960,Argentina,40.8,40.8,40.8
1960,Malaysia,48.5,48.5,48.5
1960,Egypt,32,32,32
1960,Venezuela,55.6,55.6,55.6
1960,Kazakhstan,35.4,35.4,35.4
1960,Belgium,25.2,25.2,25.2
1960,Vietnam,35.7,35.7,35.7
1960,Sweden,24.3,24.3,24.3
1960,Uzbekistan,44.3,44.3,44.3
1960,United Arab Emirates,32.5,32.5,32.5
1960,Czechia,20.7,20.7,20.7
1960,Philippines,47.7,47.7,47.7
1960,Romania,39.6,39.6,39.6
1960,Finland,22.2,22.2,22.2
1960,Algeria,37.4,37.4,37.4
1960,Austria,30.8,30.8,30.8
1960,Iraq,28.6,28.6,28.6
1960,Greece,37,37,37
1960,Singapore,26.3,26.3,26.3
1960,Colombia,55.1,55.1,55.1
1960,Chile,56.2,56.2,56.2
1960,Belarus,32,32,32
1960,Switzerland,36,36,36
1960,Hungary,29.9,29.9,29.9
1960,Norway,26.9,26.9,26.9
1960,Portugal,38.8,38.8,38.8
1960,Kuwait,35.1,35.1,35.1
1960,Bangladesh,25.9,25.9,25.9
1960,Ethiopia,44.6,44.6,44.6
1960,North Korea,59.3,59.3,59.3
1960,Israel,36.3,36.3,36.3
1960,Denmark,26.2,26.2,26.2
1960,Tanzania,35.3,35.3,35.3
1960,Bulgaria,35.7,35.7,35.7
1960,Syria,35.2,35.2,35.2
1960,Slovakia,27.1,27.1,27.1
1960,Qatar,35.1,35.1,35.1
1960,Kenya,56.9,56.9,56.9
1960,Libya,35.2,35.2,35.2
1960,Sudan,35.4,35.4,35.4
1960,New Zealand,31.3,31.3,31.3
1960,DR Congo,41.6,41.6,41.6
1960,Turkmenistan,40.8,40.8,40.8
1960,Myanmar,38.1,38.1,38.1
1960,Ireland,35.5,35.5,35.5
1960,Oman,35.1,35.1,35.1
1960,Azerbaijan,34.6,34.6,34.6
1960,Morocco,36.5,36.5,36.5
1960,Peru,53.3,53.3,53.3
1960,Mozambique,53.3,53.3,53.3
1960,Ecuador,50.5,50.5,50.5
1960,Angola,51.9,51.9,51.9
1960,Yemen,35,35,35
1961,USA,37.6,37.6,37.6
1961,China,32.2,32.2,32.2
1961,Russia,36.9,36.9,36.9
1961,India,33.2,33.2,33.2
1961,Japan,34.8,34.8,34.8
1961,Germany,29.5,29.5,29.5
1961,France,37.1,37.1,37.1
1961,Canada,37.2,37.2,37.2
1961,United Kingdom,26.8,26.8,26.8
1961,Brazil,57.9,57.9,57.9
1961,South Korea,31.7,31.7,31.7
